From/to,Mumbai,Canada,Frankfurt,Paris,SaoPaulo,Virginia,cli-Mumbai,cli-Canada,cli-Frankfurt,cli-Paris,cli-SaoPaulo,cli-Virginia
Mumbai,4.21,190.15,119.69,105.24,299.13,189.02,4.21,190.15,119.69,105.24,299.13,189.02
Canada,191.55,5.01,92.23,85.28,128.18,16.13,191.55,5.01,92.23,85.28,128.18,16.13
Frankfurt,122.67,94.78,2.84,12.25,203.22,91.79,122.67,94.78,2.84,12.25,203.22,91.79
Paris,106.67,84.97,13.13,4.13,193.34,83.36,106.67,84.97,13.13,4.13,193.34,83.36
SaoPaulo,300.17,126.03,203.86,194.67,2.64,115.82,300.17,126.03,203.86,194.67,2.64,115.82
Virginia,191.19,17.21,91.81,83.92,114.28,6.65,191.19,17.21,91.81,83.92,114.28,6.65
cli-Mumbai,4.21,190.15,119.69,105.24,299.13,189.02,4.21,190.15,119.69,105.24,299.13,189.02
cli-Canada,191.55,5.01,92.23,85.28,128.18,16.13,191.55,5.01,92.23,85.28,128.18,16.13
cli-Frankfurt,122.67,94.78,2.84,12.25,203.22,91.79,122.67,94.78,2.84,12.25,203.22,91.79
cli-Paris,106.67,84.97,13.13,4.13,193.34,83.36,106.67,84.97,13.13,4.13,193.34,83.36
cli-SaoPaulo,300.17,126.03,203.86,194.67,2.64,115.82,300.17,126.03,203.86,194.67,2.64,115.82
cli-Virginia,191.19,17.21,91.81,83.92,114.28,6.65,191.19,17.21,91.81,83.92,114.28,6.65
