From/to,Canada,Paris,Virginia,Frankfurt,Singapore,Mumbai,cli-Canada,cli-Paris,cli-Virginia,cli-Frankfurt,cli-Singapore,cli-Mumbai
Canada,5,85,16,92,228,192,5,85,16,92,228,192
Paris,85,4,83,13,165,107,85,4,83,13,165,107
Virginia,17,84,7,92,241,191,17,84,7,92,241,191
Frankfurt,95,12,92,3,159,123,95,12,92,3,159,123
Singapore,227,160,239,158,2,57,227,160,239,158,2,57
Mumbai,190,105,189,120,55,4,190,105,189,120,55,4
cli-Canada,5,85,16,92,228,192,5,85,16,92,228,192
cli-Paris,85,4,83,13,165,107,85,4,83,13,165,107
cli-Virginia,17,84,7,92,241,191,17,84,7,92,241,191
cli-Frankfurt,95,12,92,3,159,123,95,12,92,3,159,123
cli-Singapore,227,160,239,158,2,57,227,160,239,158,2,57
cli-Mumbai,190,105,189,120,55,4,190,105,189,120,55,4
