From/to,Canada,SaoPaulo,Virginia,Frankfurt,Ireland,Mumbai,Paris,Tokyo,Singapore,cli-Canada,cli-SaoPaulo,cli-Virginia,cli-Frankfurt,cli-Ireland,cli-Mumbai,cli-Paris,cli-Tokyo,cli-Singapore
Canada,5,128,16,92,71,192,85,158,228,5,128,16,92,71,192,85,158,228
SaoPaulo,126,3,116,204,181,300,195,271,340,126,3,116,204,181,300,195,271,340
Virginia,17,114,7,92,69,191,84,167,241,17,114,7,92,69,191,84,167,241
Frankfurt,95,203,92,3,28,123,12,224,159,95,203,92,3,28,123,12,224,159
Ireland,70,178,70,28,3,123,20,216,174,70,178,70,28,3,123,20,216,174
Mumbai,190,299,189,120,125,4,105,131,55,190,299,189,120,125,4,105,131,55
Paris,85,193,83,13,20,107,4,233,165,85,193,83,13,20,107,4,233,165
Tokyo,159,274,168,224,216,130,234,3,75,159,274,168,224,216,130,234,3,75
Singapore,227,341,239,158,174,57,160,74,2,227,341,239,158,174,57,160,74,2
cli-Canada,5,128,16,92,71,192,85,158,228,5,128,16,92,71,192,85,158,228
cli-SaoPaulo,126,3,116,204,181,300,195,271,340,126,3,116,204,181,300,195,271,340
cli-Virginia,17,114,7,92,69,191,84,167,241,17,114,7,92,69,191,84,167,241
cli-Frankfurt,95,203,92,3,28,123,12,224,159,95,203,92,3,28,123,12,224,159
cli-Ireland,70,178,70,28,3,123,20,216,174,70,178,70,28,3,123,20,216,174
cli-Mumbai,190,299,189,120,125,4,105,131,55,190,299,189,120,125,4,105,131,55
cli-Paris,85,193,83,13,20,107,4,233,165,85,193,83,13,20,107,4,233,165
cli-Tokyo,159,274,168,224,216,130,234,3,75,159,274,168,224,216,130,234,3,75
cli-Singapore,227,341,239,158,174,57,160,74,2,227,341,239,158,174,57,160,74,2
