Zone,IP
California,192.168.3.1
Canada,192.168.3.2
Virginia,192.168.3.3
SaoPaulo,192.168.3.4
Ireland,192.168.3.5
Paris,192.168.3.6
Frankfurt,192.168.3.7
Stockholm,192.168.3.8
Mumbai,192.168.3.9
Singapore,192.168.3.10
Tokyo,192.168.3.11
Sydney,192.168.3.12
cli-California,192.168.3.13
cli-Canada,192.168.3.14
cli-Virginia,192.168.3.15
cli-SaoPaulo,192.168.3.16
cli-Ireland,192.168.3.17
cli-Paris,192.168.3.18
cli-Frankfurt,192.168.3.19
cli-Stockholm,192.168.3.20
cli-Mumbai,192.168.3.21
cli-Singapore,192.168.3.22
cli-Tokyo,192.168.3.23
cli-Sydney,192.168.3.24
